,Emotional Connection and Relationships,Security and Stability,Pleasure and Satisfaction,Ethics and Social Responsibility,Personal Empowerment and Control,Privacy and Discretion,Adventure and Discovery,Achievement and Recognition,Personal Growth and Improvement,Passion and Positivity,Innovation and Creativity,Convenience and Reliability,Quality and Value
Google Fit: Activity Tracking,20.0,60.0,70.0,40.0,50.0,80.0,30.0,40.0,60.0,50.0,30.0,90.0,80.0
Samsung Health,25.0,70.0,65.0,45.0,55.0,85.0,35.0,45.0,65.0,55.0,35.0,95.0,85.0
Healthify: AI Diet & Fitness,30.0,65.0,70.0,50.0,60.0,80.0,40.0,50.0,70.0,60.0,45.0,90.0,85.0
Da Fit,30.0,40.0,50.0,20.0,30.0,10.0,20.0,40.0,30.0,40.0,20.0,50.0,60.0
boAt Crest,25.0,35.0,45.0,15.0,25.0,5.0,15.0,35.0,25.0,35.0,15.0,45.0,55.0
boAt Wearables,20.0,30.0,40.0,10.0,20.0,0.0,10.0,30.0,20.0,30.0,10.0,40.0,50.0
PharmEasy - Healthcare App,20.0,80.0,40.0,90.0,60.0,70.0,10.0,30.0,50.0,60.0,40.0,80.0,90.0
NoiseFit: Health & Fitness,30.0,70.0,50.0,80.0,70.0,60.0,40.0,50.0,60.0,70.0,50.0,80.0,85.0
TATA 1mg Online Healthcare App,25.0,75.0,45.0,85.0,65.0,65.0,35.0,35.0,55.0,65.0,45.0,80.0,88.0
"ABHA, Heart Rate, Records(PHR)",0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0
Aarogya Setu,0.0,30.0,0.0,50.0,0.0,20.0,0.0,0.0,0.0,0.0,40.0,40.0,40.0
boAt Wave,0.0,20.0,60.0,20.0,0.0,10.0,0.0,0.0,0.0,50.0,30.0,50.0,50.0
"MediBuddy-Online Dr, Lab, Meds",20.0,60.0,40.0,80.0,30.0,50.0,10.0,40.0,60.0,30.0,20.0,70.0,80.0
boAt ProGear,20.0,50.0,60.0,40.0,30.0,40.0,20.0,30.0,40.0,50.0,30.0,60.0,70.0
Apollo 247 - Health & Medicine,25.0,55.0,45.0,75.0,35.0,45.0,15.0,35.0,55.0,35.0,25.0,65.0,75.0
Flipkart Health+ Medicine App,20.0,70.0,40.0,80.0,30.0,60.0,10.0,20.0,40.0,30.0,50.0,90.0,85.0
Home Workout - No Equipment,10.0,20.0,80.0,40.0,60.0,50.0,60.0,40.0,70.0,80.0,30.0,90.0,70.0
Practo: Doctor Appointment App,50.0,80.0,60.0,90.0,50.0,70.0,20.0,30.0,60.0,70.0,40.0,95.0,85.0
Zepp (formerly Amazfit),30.0,60.0,70.0,80.0,50.0,40.0,20.0,40.0,60.0,50.0,30.0,80.0,90.0
cult.fit Health Fitness & Gyms,20.0,30.0,40.0,70.0,40.0,20.0,10.0,30.0,50.0,30.0,20.0,50.0,60.0
Netmeds - India Ki Pharmacy,10.0,40.0,20.0,60.0,30.0,10.0,5.0,20.0,40.0,20.0,10.0,60.0,70.0
Zepp Life,20.0,60.0,70.0,80.0,50.0,40.0,30.0,60.0,70.0,65.0,60.0,80.0,75.0
Fastrack Smart World,10.0,20.0,30.0,40.0,20.0,10.0,20.0,30.0,40.0,35.0,25.0,40.0,45.0
MedPlus Mart - Online Pharmacy,0.0,50.0,20.0,80.0,10.0,60.0,0.0,20.0,30.0,25.0,15.0,70.0,85.0
fitpro,30.0,40.0,50.0,20.0,30.0,10.0,20.0,40.0,30.0,40.0,20.0,50.0,60.0
Truemeds - Health & Medicine,40.0,60.0,30.0,60.0,40.0,50.0,10.0,30.0,40.0,30.0,20.0,60.0,70.0
HiwatchPro,20.0,50.0,20.0,30.0,20.0,40.0,10.0,20.0,20.0,20.0,10.0,50.0,40.0
