,category,bundle_name,title
0,Grocery,in.swiggy.android,Swiggy: Food Instamart Dineout
1,Grocery,com.jpl.jiomart,JioMart Online Shopping App
2,Grocery,com.grofers.customerapp,Blinkit: Grocery in 10 minutes
3,Grocery,com.bigbasket.mobileapp,bigbasket : Grocery App
4,Grocery,com.tatadigital.tcp,"Tata Neu - Shop, Travel, Pay"
5,Grocery,com.zeptoconsumerapp,Zepto:10-Min Grocery Delivery*
6,Grocery,in.dmart,DMart Ready Online Grocery App
7,Grocery,app.mycountrydelight.in.countrydelight,Country Delight: Milk Delivery
8,Grocery,com.dunzo.user,Dunzo: Grocery Shopping & More
9,Grocery,live.citymall.customer.prod,CityMall: Online Shopping App
10,Grocery,com.freshtohome,Fresh To Home - Meat Delivery
11,Grocery,com.dealshare,DealShare: Online Grocery App
12,Grocery,com.raincan.android.hybrid,bbdaily: Online Milk & Grocery
13,Grocery,com.vmm.android,Vishal Mega Mart-Select Cities
14,Grocery,com.milkbasket.app,Milkbasket: Grocery Delivery
15,Grocery,com.otipy.otipy,Otipy:Fresh Vegetable & Fruits
16,Grocery,com.noon.buyerapp,"noon Shopping, Food, Grocery"
17,Grocery,com.pincode.shop,Pincode: Grocery Delivery App
18,Grocery,com.kisankonnect.in,KisanKonnect FarmFresh Produce
19,Grocery,com.bsl.spencers.activity,Spencer's Online Shopping App
