,Emotional Connection and Relationships,Security and Stability,Pleasure and Satisfaction,Ethics and Social Responsibility,Personal Empowerment and Control,Privacy and Discretion,Adventure and Discovery,Achievement and Recognition,Personal Growth and Improvement,Passion and Positivity,Innovation and Creativity,Convenience and Reliability,Quality and Value
Swiggy,20,40,60,30,25,15,10,20,30,40,20,50,60
Food Instamart,15,35,55,25,20,10,5,15,25,35,15,45,50
Dineout,20,40,60,30,25,15,10,20,30,40,20,50,60
JioMart Online Shopping App,10,45,55,30,20,10,5,15,25,35,15,50,55
Blinkit: Grocery in 10 minutes,5,40,60,25,20,10,5,15,25,35,15,50,55
bigbasket : Grocery App,30,60,50,70,40,50,20,30,40,45,30,80,70
"Tata Neu - Shop, Travel, Pay",35,65,55,75,45,55,25,35,45,50,35,85,75
Zepto:10-Min Grocery Delivery*,40,55,60,65,50,45,20,35,40,55,45,95,60
DMart Ready Online Grocery App,40,80,70,60,50,70,30,40,50,60,40,90,80
Country Delight: Milk Delivery,30,70,60,50,40,60,20,30,40,50,30,80,70
Dunzo: Grocery Shopping & More,20,60,50,40,30,50,40,20,30,40,40,70,60
CityMall: Online Shopping App,40,70,80,60,50,40,30,40,45,55,35,90,85
Fresh To Home - Meat Delivery,20,80,75,70,30,50,10,20,25,40,20,95,95
DealShare: Online Grocery App,30,60,70,55,40,45,15,25,35,50,25,85,80
bbdaily: Online Milk & Grocery,0,80,70,60,20,40,0,0,0,30,10,90,85
Vishal Mega Mart - Select Cities,0,50,40,50,10,30,0,0,0,20,5,70,75
Milkbasket: Grocery Delivery,0,60,50,55,15,35,0,0,0,25,8,80,80
Otipy:Fresh Vegetable & Fruits,40,70,60,80,30,50,20,40,30,45,25,85,90
noon Shopping,55,80,75,70,50,60,35,45,40,65,40,90,85
Pincode: Grocery Delivery App,50,75,70,65,45,55,30,40,35,60,35,85,80
KisanKonnect FarmFresh Produce,40,60,70,80,50,30,20,40,60,70,50,90,95
Spencer's Online Shopping App,20,40,50,30,20,10,10,20,30,40,20,80,70
